fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	assembled	reads_n	reads_size_bp	reads_N50_bp	reads_len_max_bp	reads_len_min_bp	reads_mean_len_bp	reads_median_len_bp	reads_mean_q	reads_median_q	contigs_n	contigs_size_bp	contigs_N50_bp	contigs_len_max_bp	contigs_len_min_bp	contigs_mean_len_bp	contigs_median_len_bp	HQ_mags	MQ_mags	r_abund	r_abund_hq	nanopore	speed_bps	sampling_khz	device	minknow_v	basecaller	basecaller_v	mmlong2_v	ENA_id	ENA_raw1	ENA_raw2	ENA_raw3	ENA_reads
MFD03602	6420	Soil	Urban	Urban	Greenspaces	Other	9.9789	57.5907	49.251	17123805	54615774482	7262	576349	200	3189	1374	15.7	17.2	32459	1009828175	65408	2934898	3000	31110	14189	5	37	23.165	3.039	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381629	ERX10639795	ERX10639796	ERX10639797	ERX10995506
MFD03638	3110	Sediment	Urban	Freshwater	Standing freshwater	Enclosed water	9.0616	55.1881	27.39	11385341	6770812501	717	857303	200	594	337	17.4	16.9	5240	66816519	16832	399076	3000	12751	8269	0	4	27.19	0	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381604	ERX10176763			ERX10202240
MFD03726	3110	Sediment	Urban	Freshwater	Standing freshwater	Enclosed water	9.3209	55.2451	72.156	31498241	82708823561	4566	848867	200	2625	1838	16.1	17.6	54648	1557154395	75414	5561946	3000	28494	10648	73	131	56.757	19.806	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381605	ERX10223423	ERX10223424	ERX10223425	ERX10207461
MFD03804	3110	Sediment	Urban	Freshwater	Standing freshwater	Enclosed water	8.2025	56.6925	68.379	26146252	105500864744	6351	267220	200	4035	2865	14.8	17.7	55396	2259529437	138780	3558609	3000	40788	12965	81	151	45.543	18.551	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381632	ERX10639819	ERX10639820	ERX10639821	ERX10929542
MFD03899	3120	Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, City	10.1547	56.0667	54.498	25674539	109992793765	6645	1388879	200	4284	3651	16.6	18.2	47152	1665209860	91520	4185122	3000	35315	13462	25	125	33.707	6.972	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381606	ERX10189151	ERX10189152	ERX10189153	ERX10207462
MFD03975	6410	Soil	Urban	Urban	Greenspaces	Parks	9.28	56.1497	57.254	30930106	153648668498	7452	453524	200	4967	4000	14.3	17.4	121067	3495801650	65661	2938435	3000	28874	13068	26	188	31.716	5.374	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381628	ERX10630635	ERX10630636	ERX10630637	ERX10995505
MFD04212	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	12.2823	55.0396	65.068	19357524	118653086575	8492	453468	200	6129	5048	13.9	18.3	54343	2723312279	128273	7050730	3001	50113	19502	82	165	50.28	21.593	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381701	ERX11032527	ERX11032528	ERX11032529	ERX11119395
MFD04408	3120	Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, City	9.5294	55.2455	59.636	32892506	83557894425	3893	619226	200	2540	1867	15.8	17.4	57300	1307898010	47200	4560930	3000	22825	10079	34	135	41.299	10.579	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381607	ERX10190510	ERX10190511	ERX10190512	ERX10207463
MFD04428	6410	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	8.3158	55.7148	65.64	24664456	98147531072	7442	607809	200	3979	2380	16.6	18.7	71539	2120405240	60043	3673862	3000	29639	14339	26	104	30.688	8.069	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928281	ERX11257599	ERX11257600	ERX11257601	ERX11419408
MFD04434	2180	Soil	Natural	Dunes	Sea dunes	Wooded dunes	8.2445	55.7463	72.865	22015571	103793170291	6020	1060349	200	4714	4255	15.7	18.4	42064	1896144747	142652	5008362	3000	45077	15415	61	116	53.762	21.67	R10.4.1	400	4	P2	22.07.5	Guppy	6.3.2	1.0.1	ERS14381611	ERX10188312	ERX10188313	ERX10188314	ERX10207464
MFD04463	2180	Soil	Natural	Dunes	Sea dunes	Wooded dunes	8.2405	55.7443	77.239	28480491	139555105743	7448	298870	200	4900	4108	9.4	16.1	62057	3144712273	190796	6105235	3000	50674	15721	101	184	53.416	22.155	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381634	ERX10640884	ERX10640885	ERX10640886	ERX10929543
MFD04492	3160	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic	9.699910829	56.05543277	60.575	36255917	88832403327	3935	620589	200	2450	1859	10.3	16.2	52187	1322733437	62353	5320406	3000	25346	10026	40	131	60.979	16.241	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381696	ERX10994671	ERX10994672	ERX10994673	ERX10998505
MFD04540	91D0	Soil	Natural	Forests	Temperate forests	Bog woodland	9.344	54.8082	61.316	36009536	79565695205	3300	437242	200	2209	1681	14.9	18.2	43853	1290147813	90979	8340193	3000	29419	10064	53	90	51.937	26.604	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381690	ERX10938301	ERX10938302	ERX10938303	ERX11032517
MFD04570	6410	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows	Molinia meadows	9.821	56.8309	64.391	32301030	95638078196	6957	607737	200	2960	1305	16.6	18.4	100997	2148786319	37749	3041662	3000	21275	10961	17	82	27.553	6.799	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928282	ERX11257602	ERX11257603	ERX11257604	ERX11419409
MFD04580	2330	Soil	Natural	Dunes	Inland dunes	Inland dunes grass	9.0414	55.72	68.646	40113830	76636069328	6146	361535	200	1910	589	13.4	17.2	49796	1721720182	96141	6868257	3000	34575	12395	45	97	47.456	17.468	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381635	ERX10639876	ERX10639877	ERX10639878	ERX10929544
MFD04651	3200	Sediment	Natural	Freshwater	Running freshwater		9.996	56.1124	56.299	24667768	99804851777	7212	799724	200	4045	3404	12.1	17.3	38937	1699334246	134145	4694772	3000	43643	14005	59	121	47.072	19.731	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381649	ERX10690590	ERX10690591	ERX10690592	ERX10995855
MFD04716	3120	Sediment	Urban	Freshwater	Standing freshwater	Rainwater basin, City	10.6081	57.7283	69.557	37715722	144052477240	7475	545162	200	3819	2175	14.2	18.8	71550	2778284234	98505	6095823	3000	38829	15285	100	215	43.121	18.133	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928283	ERX11261914	ERX11261915	ERX11261916	ERX11419410
MFD04752	7120	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Degraded raised bog	9.427	55.4324	59.212	34768274	47263887629	2249	543711	200	1359	777	11.6	16.4	132205	1608935770	16618	2830750	3000	12170	6850	26	112	56.388	12.728	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381652	ERX10649983	ERX10649984	ERX10649985	ERX10929545
MFD04780	7140	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs	9.7671	57.1929	62.187	15289628	38591829994	5900	660274	200	2524	1004	16.6	16.8	118183	2166562420	29325	3481983	3000	18332	9873	31	156	45.089	10.29	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381688	ERX10938296	ERX10938297	ERX10938298	ERX11032523
MFD04850	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	8.6134	56.8489	61.769	20007146	154574355958	9793	966370	200	7725	7003	13.4	17.9	108693	4254798414	88448	3879407	3000	39145	17482	41	214	31.499	5.809	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381659	ERX10843925	ERX10843926	ERX10843927	ERX10996325
MFD04926	7110	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs	11.803	55.2941	43.811	13594713	8321580788	722	398312	200	612	406	16.8	15.3	15123	130024712	9984	902749	3000	8597	5601	2	12	55.608	4.78	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381664	ERX10675532	ERX10675533	ERX10675534	ERX10996330
MFD04935	2120	Soil	Natural	Dunes	Sea dunes	Marram dunes (white dunes)	8.4297	55.3523	59.834	25004664	111415338763	6032	342985	200	4455	3793	13	17.6	40061	1840014004	133036	7921682	3000	45930	15597	38	110	42.282	15.891	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381669	ERX10864326	ERX10864327	ERX10864328	ERX10996333
MFD04944	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	10.5752	54.9596	82.219	37188166	190465616801	6748	254293	200	5121	4538	14.4	18.5	56426	2776287842	194707	5010067	3000	49202	14363	114	187	39.755	18.977	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381689	ERX11040644	ERX11040645	ERX11040646	ERX11119393
MFD04967	9100	Soil	Natural	Forests	Temperate forests		10.5207	54.8533	75.498	15840925	91547245390	7355	498668	200	5779	5091	16.9	18.7	54020	2275787234	132378	8764536	3000	42128	14343	59	134	52.595	19.4	R10.4.1	400	4	P2	22.07.4	Guppy	6.3.2	1.0.1	ERS14381608	ERX10228445	ERX10228446	ERX10228447	ERX10207465
MFD05088	6141	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	11.09569745	54.7141524	50.856	23653851	94090872277	5332	717465	200	3977	3321	11.3	17.4	62932	1655577151	56466	2012714	3000	26307	11992	12	129	30.403	2.826	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381663	ERX10914345	ERX10914346	ERX10914347	ERX10996329
MFD05176	6511	Soil	Agriculture	Fields	Superasterids	Caryophyllales, Sugar beet	12.03933871	54.8739716	56.499	35095068	138568777359	5811	570740	200	3948	3038	15.3	17.7	114443	3093858424	61078	1831297	3000	27034	11906	22	191	28.95	3.872	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381636	ERX10675173	ERX10675174	ERX10675175	ERX10998500
MFD05377	3100	Sediment	Natural	Freshwater	Standing freshwater		8.85114178	56.93737774	73.83	28154481	134185781717	7819	486264	200	4766	3606	13	17.2	81389	2871341239	83091	4784354	3000	35279	15082	46	119	31.528	10.857	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381677	ERX10977520	ERX10977521	ERX10977522	ERX10996852
MFD05379	7140	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs	8.8258	56.506	47.173	11588528	10518282287	1614	436660	200	907	456	17.1	16.1	29625	328542262	14194	1338536	3000	11090	7095	2	27	51.467	5.371	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381660	ERX10675529	ERX10675530	ERX10675531	ERX10996326
MFD05442	1330	Soil	Natural	Coastal	Salt marshes and salt meadows	Atlantic salt meadows	8.822	56.7368	70.593	27068894	156672348617	7194	346349	200	5787	5285	16.4	18.2	61367	3262109501	164622	5906996	3000	53157	17567	109	249	53.522	22.695	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381668	ERX10843931	ERX10843932	ERX10843933	ERX10996332
MFD05454	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	12.5121	54.9631	61.608	20093147	138391157077	8689	374982	200	6887	6178	13.4	17.8	115594	3920009629	72819	3232534	3000	33911	16098	19	179	22.821	2.468	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381670	ERX10689286	ERX10689287	ERX10689288	ERX10996334
MFD05502	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	10.3164	55.77	74.822	24525166	131721789267	7283	560537	200	5370	4998	12.6	17.5	47739	2294814204	166095	5555368	3000	48070	15751	94	123	49.677	24.384	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381673	ERX10906760	ERX10906761	ERX10906762	ERX10996848
MFD05512	91D0	Soil	Natural	Forests	Temperate forests	Bog woodland	12.3921	55.7882	72.188	26980475	115385989045	5673	431224	200	4276	3826	16.2	18	42954	2160853268	176778	4432003	3000	50306	15559	84	162	57.815	27.711	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381671	ERX10683788	ERX10683789	ERX10683790	ERX10929546
MFD05513	9100	Soil	Natural	Forests	Temperate forests		10.1282	55.9873	64.978	31246991	145872912763	6944	644010	200	4668	3732	17.2	19.5	59098	2753104948	131629	6643497	3000	46585	17154	56	164	41.573	12.359	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252360	ERX11352354	ERX11352355	ERX11352356	ERX11423441
MFD05521	2170	Soil	Natural	Dunes	Sea dunes	Dunes creeping willow	9.6658	57.3069	68.277	30649595	152158795258	7916	319081	200	4964	4007	14.8	17.5	105449	3670759465	80334	4799201	3000	34810	15017	59	162	38.54	10.04	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381695	ERX11081454	ERX11081455	ERX11081456	ERX11119397
MFD05537	9100	Soil	Natural	Forests	Temperate forests		9.7462	55.2524	57.741	11005960	70256492628	9945	200269	200	6383	6319	17.2	18.3	23040	989720029	108038	8777251	3000	42956	17161	10	50	26.024	6.079	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381678	ERX10935406	ERX10935407	ERX10935408	ERX10996853
MFD05567	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	9.8535	55.2293	63.286	35749389	130946867929	6025	469759	200	3662	2796	15	17.7	107344	3352276193	79698	3546555	3000	31229	12232	50	202	40.392	8.838	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381686	ERX11010075	ERX11010076	ERX11010077	ERX11032524
MFD05580	7110	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Active raised bogs	9.5148	56.3838	83.29	26396400	81487662336	5174	1100615	200	3087	2291	14.6	17.7	30024	1262287826	139492	7004543	3000	42042	14111	55	86	61.774	26.083	R10.4.1	400	4	P2	22.07.4	Guppy	6.2.1	1.0.1	ERS14381609	ERX10225112	ERX10225113	ERX10225114	ERX10207466
MFD05674	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	9.842462439	54.90177423	56.543	46024914	133498908841	5301	586456	200	2900	1768	11.7	19	81044	2129161582	62857	4793920	3000	26271	10807	33	139	35.178	9.013	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252361	ERX11418574	ERX11418575	ERX11418576	ERX11420851
MFD05684	1310	Soil	Natural	Coastal	Salt marshes and salt meadows	Salicornia mud	8.2638	55.5312	77.065	36777318	143537147265	5523	395419	200	3902	3273	14.6	17.9	65579	2792332538	171715	5687249	3000	42579	12254	147	233	57.788	26.174	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381672	ERX10906756	ERX10906757	ERX10906758	ERX10996847
MFD05705	2190	Soil	Natural	Dunes	Sea dunes	Humid dune slacks	8.2063	55.7153	76.515	30071279	143655535090	6615	337155	200	4777	3948	16.4	17.9	55618	2328543502	144410	5157034	3000	41866	13996	88	126	50.81	19.963	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381680	ERX10958247	ERX10958248	ERX10958249	ERX10996855
MFD05747	6210	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Calcareous grassland	12.4445	55.3414	61.095	32031295	132514895863	6431	658862	200	4137	3269	16.8	19.1	59476	2395756052	102105	5455767	3000	40281	15958	19	135	28.406	6.282	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928284	ERX11261918	ERX11261919	ERX11261920	ERX11419411
MFD05841	9000	Soil	Natural	Forests			9.9156	56.891	69.119	30162172	139715572018	6446	758653	200	4632	3844	17.8	18.9	82461	2977323419	79086	4026852	3000	36105	16106	46	180	40.436	10.618	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252362	ERX11418942	ERX11418943	ERX11418944	ERX11420852
MFD05942	6200	Soil	Agriculture	Fields	Poales, grass		9.6177	56.7771	70.992	37338575	146013592463	5698	441849	200	3910	3188	14.4	19.1	78955	3086804977	109980	5366867	3000	39095	14156	85	257	45.195	15.317	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252363	ERX11327803	ERX11327804	ERX11327805	ERX11420853
MFD06085		Soil	Natural	Natural, unassigned habitat			8.16335014	56.31252593	60.427	25524749	116439198351	6836	684921	200	4561	3740	17.9	19	51295	1895130773	81699	7809271	3000	36945	16307	27	105	30.822	6.713	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252364	ERX11279312	ERX11279313	ERX11279314	ERX11420847
MFD06092	4110	Soil	Natural	Temperate heath and scrub	Temperate heath	Wet heath	8.49378111	56.2604146	76.12	35984616	117742179767	5996	683979	200	3272	2052	14.9	19.1	60067	2563128743	126246	7333967	3000	42671	15110	64	173	53.863	15.019	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928285	ERX11264331	ERX11264332	ERX11264333	ERX11419412
MFD06229	7100	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs		10.10668968	56.20455878	59.864	25435632	156509733248	8682	1059630	200	6153	5355	17.9	19.2	53287	2754876239	130210	5374118	3000	51698	20945	29	152	28.997	5.486	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252365	ERX11398577	ERX11398578	ERX11398579	ERX11423442
MFD06298	6400	Soil	Natural	Grassland formations	Semi-natural tall-herb humid meadows		10.10253411	56.20216654	64.965	22177493	148693637902	8603	595750	200	6704	5849	19.5	19.9	63670	2756000475	102557	2963556	3002	43285	18690	30	127	26.012	5.203	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252366	ERX11278938	ERX11278939	ERX11278940	ERX11420845
MFD06435	3130	Sediment	Natural	Freshwater	Standing freshwater	Lake, Mixed Najas flexilis	8.46320698	57.0278885	64.363	29951475	128556822167	8088	777082	200	4292	2751	17.9	18.9	66270	2440338867	92189	5419901	3000	36824	14953	35	146	37.384	8.62	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928286	ERX11273896	ERX11273897	ERX11273898	ERX11420355
MFD06526	6230	Soil	Natural	Grassland formations	Semi-natural dry grasslands	Species-rich Nardus upland grassland	8.46523762	56.28098028	56.36	21107809	102009759034	7724	576353	200	4832	3586	16.4	19.1	48701	1789545056	67239	2818473	3000	36745	20285	12	70	23.019	4.86	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252367	ERX11279315	ERX11279316	ERX11279317	ERX11420848
MFD06714	2140	Soil	Natural	Dunes	Sea dunes	Decalcified Empetrum dunes	9.988333	55.207112	70.827	34900335	119886166166	6187	799742	200	3435	2277	15.4	19.1	66161	2465865893	93597	4860239	3000	37270	14833	44	142	39.22	9.915	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252368	ERX11399382	ERX11399383	ERX11399384	ERX11423443
MFD06742	9150	Soil	Natural	Forests	Temperate forests	Beech forests Limestone	12.534405	54.992122	62.581	31847917	172373468121	7977	596171	200	5412	4551	16.9	19.3	87269	3506534880	91465	8725057	3000	40180	17707	26	168	26.147	4.212	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928287	ERX11275140	ERX11275141	ERX11275142	ERX11420357
MFD07386	6161	Soil	Agriculture	Fields	Poales, Cereal	Rye, Winter, Hybrid	10.40836975	57.24016406	45.835	21324384	51547813791	4207	874861	200	2417	1621	12.6	17.2	33203	681625339	41067	5080856	3000	20529	9318	2	34	32.473	2.305	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381683	ERX10951240	ERX10951241	ERX10951242	ERX10998502
MFD07639	6141	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	9.563648381	56.16870271	46.453	19806786	66111352429	4675	610891	200	3337	2751	13.6	16.4	29236	770633660	60951	2894038	3000	26359	11251	7	49	25.301	3.219	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381682	ERX10977523	ERX10977524	ERX10977525	ERX10998501
MFD07691	6111	Soil	Agriculture	Fields	Poales, Cereal	Oat, Spring	9.563648381	56.16870271	45.031	14915991	50345691875	5326	675534	200	3375	2749	16.5	17	25073	610010198	46047	1108809	3000	24329	11707	1	32	20.231	1.108	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381675	ERX10914353	ERX10914354	ERX10914355	ERX10996850
MFD07737	6822	Soil	Agriculture	Fields	Mixed crops	Grass, Clover, Rotation	9.081092275	56.43949598	33.872	10690932	33813341123	5342	743686	200	3162	2278	16.6	16.9	51851	880753693	25468	2540018	3000	16986	9717	9	25	19.643	6.727	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381684	ERX10935409	ERX10935410	ERX10935411	ERX10998503
MFD07751	6141	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	9.408349892	56.70837654	39.255	16761293	41926514245	4387	923525	200	2501	1613	16	17	127399	1505678203	15156	1513293	3000	11818	7708	1	48	15.838	0.427	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381685	ERX10938973	ERX10938974	ERX10938975	ERX10998504
MFD07830	6142	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring, Green grain	10.07445384	57.15362473	22.674	13776434	19712492774	2437	864491	200	1430	836	17.4	17.5	37353	311946881	9676	398550	3000	8351	6012	3	5	7.973	3.403	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252369	ERX11280972	ERX11280973	ERX11280974	ERX11420849
MFD07841	6161	Soil	Agriculture	Fields	Poales, Cereal	Rye, Winter, Hybrid	10.41180434	57.32996759	38.15	15446763	40434121504	3962	840296	200	2617	2030	16.6	16.9	121841	1354720031	14246	814461	3000	11118	7182	2	52	18.654	1.371	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381681	ERX10951243	ERX10951244	ERX10951245	ERX10996856
MFD07987	6161	Soil	Agriculture	Fields	Poales, Cereal	Rye, Winter, Hybrid	9.399815281	55.89979192	32.76	13653850	35219476291	3890	711898	200	2579	2025	16.6	16.9	88501	974078934	14000	586161	3000	11006	7197	5	26	16.632	3.752	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381691	ERX10956818	ERX10956819	ERX10956820	ERX11032518
MFD08079	6143	Soil	Agriculture	Fields	Poales, Cereal	Barley, Winter	9.547155753	55.00063561	46.968	16184320	50785493945	4305	643632	200	3137	2690	16.3	17.1	23075	544129511	47935	3167882	3001	23580	10914	5	36	24.999	3.7	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381648	ERX10910660	ERX10910661	ERX10910662	ERX10995854
MFD08203	6131	Soil	Agriculture	Fields	Poales, Cereal	Maize	9.397977559	55.72009186	43.033	4382822	5718005615	2863	739163	200	1304	589	15.7	15.9	13771	206886312	22463	1010779	3000	15023	8348	3	5	18.505	8.353	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381705	ERX10956821	ERX10956822	ERX10956823	ERX10998508
MFD08353	6132	Soil	Agriculture	Fields	Poales, Cereal	Maize, Silage	9.238241941	55.63065102	32.931	12305214	33370201647	4114	576352	200	2711	2278	16.7	17.1	63047	781935416	16152	834965	3000	12402	8053	1	14	14.633	0.869	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381651	ERX10911464	ERX10911465	ERX10911466	ERX10995857
MFD08416	6422	Soil	Agriculture	Fields	Asterids	Solanales, Potato, Starch	9.235554331	55.18136402	40.432	13703535	41308194782	4724	992363	200	3014	2365	16.6	16.9	94229	1382469386	20297	2281657	3000	14671	8922	9	51	20.492	4.977	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381694	ERX10994675	ERX10994676	ERX10994677	ERX10998509
MFD08447	6141	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	9.742093554	57.06619413	35.933	8644573	24820225827	4611	712891	200	2871	2149	16.8	18	67166	799570394	15237	612114	3000	11904	7979	2	27	17.791	2.269	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252370	ERX11404724	ERX11404725	ERX11404726	ERX11423446
MFD08462	6141	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	10.21910616	56.52338511	43.391	16299049	43742086790	4105	513234	200	2683	2089	16.5	17.1	109521	1519133485	19264	923134	3000	13870	8533	3	57	18.249	1.333	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381697	ERX10977526	ERX10977527	ERX10977528	ERX10998506
MFD08486	6162	Soil	Agriculture	Fields	Poales, Cereal	Rye, Winter, Hybrid (Triticale)	9.915848567	57.42438895	38.46	9878060	25332766034	3756	560126	200	2564	1983	17.1	17.2	13102	243142960	35179	719178	3000	18557	8893	3	17	27.15	3.812	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381698	ERX10938976	ERX10938977	ERX10938978	ERX10998507
MFD08497	6143	Soil	Agriculture	Fields	Poales, Cereal	Barley, Winter	9.742093554	57.06619413	50.078	40908801	109690379088	3883	590656	200	2681	1908	13.1	17.5	92856	1750051072	34853	2244988	3000	18846	9222	9	106	25.449	2.829	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381699	ERX11109142	ERX11109143	ERX11109144	ERX11119398
MFD08669	6141	Soil	Agriculture	Fields	Poales, Cereal	Barley, Spring	8.920947061	55.45114444	46.167	11579622	35311472982	4640	537351	200	3049	2461	16.6	17	93732	1427753863	22117	1819343	3000	15232	8790	10	83	23.921	4.42	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381644	ERX10911461	ERX10911462	ERX10911463	ERX10995851
MFD08691	6123	Soil	Agriculture	Fields	Poales, Cereal	Wheat, Winter	10.21337016	56.34373946	43.578	17211595	43745933741	3874	591884	200	2541	2048	15.6	16.9	155604	1778891884	14872	1734249	3000	11432	7264	7	76	22.069	2.408	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381650	ERX10690593	ERX10690594	ERX10690595	ERX10995856
MFD08700	6112	Soil	Agriculture	Fields	Poales, Cereal	Oat, Spring, Green grain	8.763379686	55.36108282	49.889	13108994	40924306884	4848	476092	200	3121	2526	16.4	16.7	114711	1661397054	19972	1923746	3000	14483	8802	12	61	23.7	8.011	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381645	ERX10843928	ERX10843929	ERX10843930	ERX10995852
