fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	assembled	reads_n	reads_size_bp	reads_N50_bp	reads_len_max_bp	reads_len_min_bp	reads_mean_len_bp	reads_median_len_bp	reads_mean_q	reads_median_q	contigs_n	contigs_size_bp	contigs_N50_bp	contigs_len_max_bp	contigs_len_min_bp	contigs_mean_len_bp	contigs_median_len_bp	HQ_mags	MQ_mags	r_abund	r_abund_hq	nanopore	speed_bps	sampling_khz	device	minknow_v	basecaller	basecaller_v	mmlong2_v	ENA_id	ENA_raw1	ENA_raw2	ENA_raw3	ENA_reads
MFD00991	3160	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic	10.41869213	56.52110487	62.835	21740743	91504173228	6908	604066	200	4208	3907	12.3	17.2	51766	1746561057	83258	5033584	3000	33739	13744	26	106	37.384	9.381	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS15928272	ERX11129096	ERX11129097	ERX11129098	ERX11147786
MFD01112	7140	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs	8.5933	56.9351	52.619	36266687	32557534078	1269	623758	200	897	567	7.4	15	66948	620071584	11474	2460995	3000	9261	5566	10	53	47.087	12.74	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381654	ERX10650170	ERX10650171	ERX10650172	ERX10929528
MFD01138	9110	Soil	Natural	Forests	Temperate forests	Beech forests Luzulo-Fagetum	10.269441	55.134551	72.376	24266422	80344142309	6616	1474882	200	3310	1536	14.9	18.1	54643	1876548744	83355	4290878	3000	34341	13896	35	89	43.949	18.832	R10.4.1	400	4	P2	22.07.5	Guppy	6.3.2	1.0.1	ERS14381598	ERX10187575	ERX10187576	ERX10187577	ERX10207454
MFD01188	7140	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs	10.271228	55.123677	54.808	14315408	39870086536	4906	380864	200	2785	1811	16.6	16.3	146888	1901488727	16904	3732657	3000	12945	7837	23	92	37.236	14.9	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS15928273	ERX11129102	ERX11129103	ERX11129104	ERX11147785
MFD01213	2130	Soil	Natural	Dunes	Sea dunes	Fixed dunes (grey dunes)	10.4374	56.5224	61.412	19318727	112551473773	8513	1022061	200	5826	4773	13.9	17.2	51635	2513831581	122494	6950575	3000	48684	19330	40	143	34.157	10.41	R10.4.1	400	4	P24	22.10.7	Guppy	6.3.9	1.0.1	ERS14381612	ERX10407523	ERX10407524	ERX10407525	ERX10975312
MFD01223	7140	Soil	Natural	Bogs, mires and fens	Sphagnum acid bogs	Quaking bogs	9.4106	54.9741	67.411	9555596	25168453725	4014	959856	200	2633	1997	17.5	18.1	83170	1180200836	20344	3979865	3000	14190	7746	24	79	57.385	36.893	R10.4.1	400	4	P2	22.07.4	Guppy	6.2.1	1.0.1	ERS14381599	ERX10232806	ERX10232807	ERX10232808	ERX10207455
MFD01231	3160	Sediment	Natural	Freshwater	Standing freshwater	Lake, Dystrophic	9.410917085	54.97351103	70.32	42848379	63850420673	3084	384533	200	1490	706	12.5	16.5	25653	809500778	91325	5645311	3000	31555	11051	33	65	60.626	39.638	R10.4.1	400	4	P24	22.12.5	Guppy	6.4.6	1.0.1	ERS14381614	ERX10665082	ERX10665083	ERX10665084	ERX10929530
MFD01248	4130	Soil	Natural	Temperate heath and scrub	Temperate heath	Dry heath	9.6813	56.1067	75.923	11436586	55560145192	6327	845099	200	4858	4386	17.1	17.8	30022	1239571162	103175	5223562	3000	41288	16508	27	57	43.354	18.922	R10.4.1	400	4	P2	22.07.5	Guppy	6.3.2	1.0.1	ERS14381600	ERX10201237	ERX10201238	ERX10201239	ERX10207456
MFD01275	2120	Soil	Natural	Dunes	Sea dunes	Marram dunes (white dunes)	10.8089	56.5332	68.9	30219541	112756902955	7335	637654	200	3731	2258	17.8	19.5	33277	1857427595	245061	10090195	3000	55817	15258	92	150	44.016	20.077	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS16252356	ERX11278932	ERX11278933	ERX11278934	ERX11420846
MFD01299	3150	Sediment	Natural	Freshwater	Standing freshwater	Lake, Rich pondweed	8.627054339	55.80287147	51.713	46407353	119201802621	4711	809697	200	2568	1524	11.6	18.5	63023	1590916451	56558	5036327	3000	25243	10583	36	143	43.679	10.962	R10.4.1	400	5	P24	23.04.5	Guppy	6.5.7	1.0.2	ERS15928274	ERX11228890	ERX11228891	ERX11228892	ERX11419404
