fieldsample_barcode	habitat_typenumber	mfd_sampletype	mfd_areatype	mfd_hab1	mfd_hab2	mfd_hab3	longitude	latitude	flat_name	after_total_reads	after_total_bases
MFD12505	6990	Soil	Agriculture	Fields	Fallow	Uncultivated	10.49820521	56.13284062	LIB-MJ390-C4_03.fastq.gz	32710268	4831965386
MFD12506	6120	Soil	Agriculture	Fields	Poales, Cereal	Wheat	10.62967067	56.31202687	LIB-MJ383-G10_01.fastq.gz	42741310	6344944799
MFD12507	6513	Soil	Agriculture	Fields	Superasterids	Caryophyllales, Beetroot 	10.72653714	56.31151779	LIB-MJ386-E7_04.fastq.gz	18533086	2718317924
MFD12508	6210	Soil	Agriculture	Fields	Poales, grass	Grass for crop	10.69392704	56.29372059	LIB-MJ387-E4_01.fastq.gz	11342592	1666852481
MFD12509	6513	Soil	Agriculture	Fields	Superasterids	Caryophyllales, Beetroot 	10.790381	56.2751887	LIB-MJ388-G10_02.fastq.gz	14493332	2142627260
MFD12510	6000	Soil	Agriculture	Fields			10.75917726	56.32930678	LIB-MJ384-F1_01.fastq.gz	17723702	2614392595
MFD12511	6120	Soil	Agriculture	Fields	Poales, Cereal	Wheat	10.82378284	56.32891063	LIB-MJ389-G7_03.fastq.gz	7258344	1026917470
MFD12512	6000	Soil	Agriculture	Fields			10.88838715	56.32848215	LIB-MJ381-E11_02.fastq.gz	24661776	3650383011
MFD12513	6000	Soil	Agriculture	Fields			10.72754887	56.36544279	LIB-MJ387-B7_01.fastq.gz	12787240	1881613687
MFD12514	6000	Soil	Agriculture	Fields			10.76058851	56.40120675	LIB-MJ382-B2_02.fastq.gz	19100096	2784213155
MFD12515	6210	Soil	Agriculture	Fields	Poales, grass	Grass for crop	10.82531417	56.40080976	LIB-MJ383-B1_01.fastq.gz	33948250	5001682421
MFD12516	6000	Soil	Agriculture	Fields			10.85847484	56.43654882	LIB-MJ385-E5_04.fastq.gz	20822656	3072788533
MFD12517	6120	Soil	Agriculture	Fields	Poales, Cereal	Wheat	10.85927494	56.47249876	LIB-MJ383-B2_01.fastq.gz	28532962	4151836082
MFD12518	6140	Soil	Agriculture	Fields	Poales, Cereal	Barley	10.72856397	56.41936833	LIB-MJ382-A6_02.fastq.gz	31291592	4581381520
MFD12519	6210	Soil	Agriculture	Fields	Poales, grass	Grass for crop	10.55736351	55.77309026	LIB-MJ382-F2_02.fastq.gz	18208568	2662667076
MFD12520	6513	Soil	Agriculture	Fields	Superasterids	Caryophyllales, Beetroot 	10.55787087	55.8090379	LIB-MJ384-G3_01.fastq.gz	13844072	2028906199
MFD12521	6120	Soil	Agriculture	Fields	Poales, Cereal	Wheat	10.5905546	55.86281613	LIB-MJ381-H5_02.fastq.gz	31461180	4608954293
MFD12522	6000	Soil	Agriculture	Fields			10.52815932	55.97094059	LIB-MJ380-F11_03.fastq.gz	18322366	2715782105
MFD12523	6120	Soil	Agriculture	Fields	Poales, Cereal	Wheat	10.33890233	56.29514205	LIB-MJ383-F5_01.fastq.gz	38774802	5752366452
MFD12524	6120	Soil	Agriculture	Fields	Poales, Cereal	Wheat	10.27409633	56.25934406	LIB-MJ385-C6_04.fastq.gz	26348474	3884928938
MFD12525	6513	Soil	Agriculture	Fields	Superasterids	Caryophyllales, Beetroot 	10.17760345	56.31344101	LIB-MJ380-B9_03.fastq.gz	31092332	4597706224
MFD12901	2100	Other	Urban	Landfill	Enrichment		12.46814	55.60454	LIB-MJ413-F6_01.fastq.gz	24779840	3642612776
MFD12902	2100	Other	Urban	Landfill	Enrichment		12.46814	55.60454	LIB-MJ413-G6_01.fastq.gz	17963624	2629579635
MFD12920	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ381-G11_02.fastq.gz	37796	5517578
MFD12921	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.75548862	55.43746872	LIB-MJ388-H5_02.fastq.gz	21036794	2992754399
MFD12922	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.81133819	55.47400626	LIB-MJ389-F5_03.fastq.gz	27263924	3821444886
MFD12923	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53171286	54.73639138	LIB-MJ386-G7_04.fastq.gz	8689348	1274768014
MFD12924	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.19638572	54.81226917	LIB-MJ382-C1_02.fastq.gz	2284430	307691314
MFD12925	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.40031427	54.96340762	LIB-MJ390-C1_03.fastq.gz	47741814	6870462727
MFD12926	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.48781091	54.89984738	LIB-MJ386-G10_04.fastq.gz	12662136	1702033129
MFD12927	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.38268808	54.87718637	LIB-MJ387-B10_01.fastq.gz	9926576	1378666953
MFD12928	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.53171286	54.73639138	LIB-MJ389-E6_03.fastq.gz	20632796	2998138530
MFD12929	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47635986	54.8086208	LIB-MJ389-H3_03.fastq.gz	15587372	2175033874
MFD12930	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.48781091	54.89984738	LIB-MJ387-F4_01.fastq.gz	6212626	856115220
MFD12931	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.19638572	54.81226917	LIB-MJ390-E1_03.fastq.gz	24155090	3537903769
MFD12932	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.47635986	54.8086208	LIB-MJ385-E1_04.fastq.gz	12187058	1697237500
MFD12934	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.16709936	55.53988164	LIB-MJ380-C1_03.fastq.gz	33362238	4904735091
MFD12935	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.0226405	55.52425623	LIB-MJ383-H11_01.fastq.gz	23463132	3355616728
MFD12936	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.3146058	55.53700208	LIB-MJ382-H1_02.fastq.gz	15792036	2302411132
MFD12937	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.094668	55.53359132	LIB-MJ385-A8_04.fastq.gz	39371896	5549700010
MFD12938	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.36000155	55.23092788	LIB-MJ385-A5_04.fastq.gz	21560758	3170286167
MFD12939	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.4729419	55.53371302	LIB-MJ381-C4_02.fastq.gz	42681262	6112608432
MFD12940	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.35117407	54.95572313	LIB-MJ385-G5_04.fastq.gz	18015540	2647899036
MFD12941	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.27473098	55.02737198	LIB-MJ385-C1_04.fastq.gz	20524834	3021581026
MFD12942	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	14.42586797	55.2138769	LIB-MJ380-A7_03.fastq.gz	44581870	6192702051
MFD12943	1210	Sediment	Subterranean	Saltwater	Open sea	Baltic Sea	15.6312496	55.53021944	LIB-MJ386-C9_04.fastq.gz	18505816	2538005923
