Genus,n_observations,n_abundant,mean_abundance,Genus_type,mfd_areatype,group_size,Core,prevalence,fidelity
MFD_g_4556,63,58,0.539100370687197,Core,"Water, Urban",112,56,0.5625,1
MFD_g_408,65,57,0.487418021100656,Core,"Water, Urban",112,56,0.580357142857143,1
CL500-29_marine_group,84,80,0.486526946107785,Core,"Water, Urban",112,56,0.75,4
Haliangium,82,69,0.450883946392929,Core,"Water, Urban",112,56,0.732142857142857,6
Propioniciclava,79,68,0.400092671799259,Core,"Water, Urban",112,56,0.705357142857143,1
Bifidobacterium,80,60,0.387617621899059,Core,"Water, Urban",112,56,0.714285714285714,1
Nocardioides,85,62,0.384944396920445,Core,"Water, Urban",112,56,0.758928571428571,6
Hyphomicrobium,80,71,0.384053321927573,Core,"Water, Urban",112,56,0.714285714285714,4
Trichococcus,76,62,0.349301397205589,Core,"Water, Urban",112,56,0.678571428571429,1
MFD_g_7704,74,60,0.322569147419447,Core,"Water, Urban",112,56,0.660714285714286,1
MFD_g_593,64,59,0.315440547476476,Core,"Water, Urban",112,56,0.571428571428571,1
Iamia,75,65,0.309203022526376,Core,"Water, Urban",112,56,0.669642857142857,3
Rhodoferax,74,61,0.302965497576276,Core,"Water, Urban",112,56,0.660714285714286,1
MFD_g_221,62,56,0.285143997718848,Core,"Water, Urban",112,56,0.553571428571429,1
Christensenellaceae_R-7_group,84,58,0.278015397775877,Core,"Water, Urban",112,56,0.75,1
Novosphingobium,73,59,0.26732249786142,Core,"Water, Urban",112,56,0.651785714285714,1
