Genus,n_observations,n_abundant,mean_abundance,Genus_type,mfd_areatype,group_size,Core,prevalence,fidelity
Massilia,288,191,0.294371469263065,Core,"Soil, Agriculture",377,189,0.763925729442971,1
Jatrophihabitans,317,237,0.288547573288436,Core,"Soil, Agriculture",377,189,0.840848806366048,2
Microvirga,309,243,0.288018128199834,Core,"Soil, Agriculture",377,189,0.819628647214854,2
Pir4_lineage,343,269,0.284841457668218,Core,"Soil, Agriculture",377,189,0.909814323607427,6
MFD_g_875,299,230,0.274252555896165,Core,"Soil, Agriculture",377,189,0.793103448275862,2
Subgroup_10,329,260,0.263928376668414,Core,"Soil, Agriculture",377,189,0.872679045092838,5
MFD_g_1794,296,240,0.262604763946907,Core,"Soil, Agriculture",377,189,0.785145888594165,2
MFD_g_11470,282,199,0.250692249453348,Core,"Soil, Agriculture",377,189,0.748010610079576,2
Acidibacter,320,226,0.247515578921732,Core,"Soil, Agriculture",377,189,0.848806366047745,3
Oryzihumus,302,217,0.246456688744527,Core,"Soil, Agriculture",377,189,0.80106100795756,1
Pedomicrobium,320,224,0.240103347681295,Core,"Soil, Agriculture",377,189,0.848806366047745,2
Lysinibacillus,309,221,0.238250289871186,Core,"Soil, Agriculture",377,189,0.819628647214854,1
Tumebacillus,294,200,0.233220561529461,Core,"Soil, Agriculture",377,189,0.779840848806366,1
Pajaroellobacter,332,237,0.226337775377627,Core,"Soil, Agriculture",377,189,0.880636604774536,3
Hyphomicrobium,313,220,0.220778601947299,Core,"Soil, Agriculture",377,189,0.830238726790451,4
Clostridium_sensu_stricto_13,302,199,0.218396099048587,Core,"Soil, Agriculture",377,189,0.80106100795756,4
