Genus,n_observations,n_abundant,mean_abundance,Genus_type,mfd_sampletype,group_size,Core,prevalence,fidelity
Mycobacterium,83,60,0.499001996007984,Core,Water,120,60,0.691666666666667,3
Haliangium,85,71,0.424983366600133,Core,Water,120,60,0.708333333333333,3
Propioniciclava,79,68,0.373419827012641,Core,Water,120,60,0.658333333333333,1
Nocardioides,89,65,0.369261477045908,Core,Water,120,60,0.741666666666667,3
Bifidobacterium,83,62,0.369261477045908,Core,Water,120,60,0.691666666666667,1
Hyphomicrobium,83,72,0.364271457085828,Core,Water,120,60,0.691666666666667,2
Trichococcus,78,63,0.328509647371923,Core,Water,120,60,0.65,1
MFD_g_7704,75,60,0.30189620758483,Core,Water,120,60,0.625,1
Iamia,77,65,0.290252827677978,Core,Water,120,60,0.641666666666667,1
Rhodoferax,76,63,0.288589487691284,Core,Water,120,60,0.633333333333333,1
Novosphingobium,77,60,0.256986027944112,Core,Water,120,60,0.641666666666667,1
