Genus,n_observations,n_abundant,mean_abundance,Genus_type,complex1,group_size,Core,prevalence,fidelity
Klebsiella,40,38,0.520909400710773,Core,"Sediment, Natural, Saltwater",41,21,0.975609756097561,2
Desulfosarcina,34,27,0.484397059539458,Core,"Sediment, Natural, Saltwater",41,21,0.829268292682927,1
Arcticiflavibacter,34,30,0.484397059539458,Core,"Sediment, Natural, Saltwater",41,21,0.829268292682927,1
Urania-1B-19_marine_sediment_group,38,32,0.467357966992844,Core,"Sediment, Natural, Saltwater",41,21,0.926829268292683,1
Sva0996_marine_group,36,32,0.464923810914756,Core,"Sediment, Natural, Saltwater",41,21,0.878048780487805,2
MFD_g_1342,31,24,0.457621342680493,Core,"Sediment, Natural, Saltwater",41,21,0.75609756097561,2
MFD_g_34995,30,26,0.45031887444623,Core,"Sediment, Natural, Saltwater",41,21,0.731707317073171,1
Lewinella,37,30,0.447884718368142,Core,"Sediment, Natural, Saltwater",41,21,0.902439024390244,2
Lutibacter,34,27,0.421109001509177,Core,"Sediment, Natural, Saltwater",41,21,0.829268292682927,1
Halioglobus,35,27,0.421109001509177,Core,"Sediment, Natural, Saltwater",41,21,0.853658536585366,1
MFD_g_9796,34,31,0.408938221118738,Core,"Sediment, Natural, Saltwater",41,21,0.829268292682927,1
MFD_g_938,29,21,0.369991723869335,Core,"Sediment, Natural, Saltwater",41,21,0.707317073170732,1
Thiogranum,35,29,0.369991723869334,Core,"Sediment, Natural, Saltwater",41,21,0.853658536585366,1
Lutimonas,28,25,0.367557567791247,Core,"Sediment, Natural, Saltwater",41,21,0.682926829268293,1
MFD_g_15278,32,27,0.365123411713159,Core,"Sediment, Natural, Saltwater",41,21,0.780487804878049,1
Ulvibacter,36,26,0.35295263132272,Core,"Sediment, Natural, Saltwater",41,21,0.878048780487805,1
Granulosicoccus,31,21,0.340781850932282,Core,"Sediment, Natural, Saltwater",41,21,0.75609756097561,2
Defluviicoccus,29,23,0.299401197604791,Core,"Sediment, Natural, Saltwater",41,21,0.707317073170732,1
Roseibacillus,36,29,0.296967041526703,Core,"Sediment, Natural, Saltwater",41,21,0.878048780487805,2
Portibacter,33,26,0.294532885448615,Core,"Sediment, Natural, Saltwater",41,21,0.804878048780488,1
Winogradskyella,31,23,0.275059636823913,Core,"Sediment, Natural, Saltwater",41,21,0.75609756097561,2
SEEP-SRB1,28,21,0.272625480745826,Core,"Sediment, Natural, Saltwater",41,21,0.682926829268293,2
MFD_g_13382,38,25,0.258020544277299,Core,"Sediment, Natural, Saltwater",41,21,0.926829268292683,1
MFD_g_15309,35,29,0.258020544277299,Core,"Sediment, Natural, Saltwater",41,21,0.853658536585366,1
OM60NOR5_clade,37,25,0.255586388199211,Core,"Sediment, Natural, Saltwater",41,21,0.902439024390244,2
MFD_g_3425,35,28,0.253152232121124,Core,"Sediment, Natural, Saltwater",41,21,0.853658536585366,2
R76-B128,30,26,0.253152232121124,Core,"Sediment, Natural, Saltwater",41,21,0.731707317073171,1
Anderseniella,37,29,0.250718076043036,Core,"Sediment, Natural, Saltwater",41,21,0.902439024390244,1
MFD_g_2744,33,27,0.231244827418334,Core,"Sediment, Natural, Saltwater",41,21,0.804878048780488,4
Rubripirellula,33,26,0.228810671340246,Core,"Sediment, Natural, Saltwater",41,21,0.804878048780488,1
OM27_clade,35,21,0.226376515262159,Core,"Sediment, Natural, Saltwater",41,21,0.853658536585366,1
Pirellula,33,21,0.223942359184071,Core,"Sediment, Natural, Saltwater",41,21,0.804878048780488,7
IheB3-7,31,22,0.199600798403194,Core,"Sediment, Natural, Saltwater",41,21,0.75609756097561,1
MFD_g_8708,30,22,0.189864174090843,Core,"Sediment, Natural, Saltwater",41,21,0.731707317073171,1
Pir4_lineage,33,24,0.189864174090843,Core,"Sediment, Natural, Saltwater",41,21,0.804878048780488,10
Paenisporosarcina,19,18,3.3682634730539,Core,"Sediment, Subterranean, Saltwater",36,18,0.527777777777778,1
SEEP-SRB1,34,34,2.94965624306942,Core,"Sediment, Subterranean, Saltwater",36,18,0.944444444444444,2
MFD_g_2740,35,34,2.84985584386782,Core,"Sediment, Subterranean, Saltwater",36,18,0.972222222222222,1
Subgroup_23,36,34,1.53858948769128,Core,"Sediment, Subterranean, Saltwater",36,18,1,2
MFD_g_4585,34,29,1.21701042359725,Core,"Sediment, Subterranean, Saltwater",36,18,0.944444444444444,1
Subgroup_10,33,32,1.02849855843868,Core,"Sediment, Subterranean, Saltwater",36,18,0.916666666666667,7
MFD_g_2519,35,30,0.94810379241517,Core,"Sediment, Subterranean, Saltwater",36,18,0.972222222222222,1
MFD_g_412,32,28,0.912064759370149,Core,"Sediment, Subterranean, Saltwater",36,18,0.888888888888889,1
Sulfurovum,27,26,0.862164559769351,Core,"Sediment, Subterranean, Saltwater",36,18,0.75,1
Pir4_lineage,35,34,0.812264360168553,Core,"Sediment, Subterranean, Saltwater",36,18,0.972222222222222,10
MFD_g_2285,25,20,0.74573076070082,Core,"Sediment, Subterranean, Saltwater",36,18,0.694444444444445,1
Mycobacterium,33,33,0.74018629407851,Core,"Sediment, Subterranean, Saltwater",36,18,0.916666666666667,15
MFD_g_1316,31,25,0.737414060767355,Core,"Sediment, Subterranean, Saltwater",36,18,0.861111111111111,1
Desulfatiglans,30,29,0.715236194278111,Core,"Sediment, Subterranean, Saltwater",36,18,0.833333333333333,1
MFD_g_1435,33,29,0.687513861166556,Core,"Sediment, Subterranean, Saltwater",36,18,0.916666666666667,1
MFD_g_235141,27,22,0.637613661565758,Core,"Sediment, Subterranean, Saltwater",36,18,0.75,1
MFD_g_1342,31,29,0.59325792858727,Core,"Sediment, Subterranean, Saltwater",36,18,0.861111111111111,2
Sva0081_sediment_group,33,29,0.576624528720337,Core,"Sediment, Subterranean, Saltwater",36,18,0.916666666666667,3
MFD_g_841,32,25,0.537813262364161,Core,"Sediment, Subterranean, Saltwater",36,18,0.888888888888889,2
Clostridium_sensu_stricto_13,25,23,0.521179862497228,Core,"Sediment, Subterranean, Saltwater",36,18,0.694444444444445,5
MFD_g_9463,30,27,0.493457529385674,Core,"Sediment, Subterranean, Saltwater",36,18,0.833333333333333,1
MFD_g_3142,31,29,0.479596362829896,Core,"Sediment, Subterranean, Saltwater",36,18,0.861111111111111,2
MFD_g_2744,33,30,0.47127966289643,Core,"Sediment, Subterranean, Saltwater",36,18,0.916666666666667,4
MFD_g_3425,33,25,0.438012863162564,Core,"Sediment, Subterranean, Saltwater",36,18,0.916666666666667,2
Spirochaeta,27,24,0.435240629851409,Core,"Sediment, Subterranean, Saltwater",36,18,0.75,3
MFD_g_4140,30,26,0.424151696606787,Core,"Sediment, Subterranean, Saltwater",36,18,0.833333333333333,1
MFD_g_6603,27,24,0.413062763362164,Core,"Sediment, Subterranean, Saltwater",36,18,0.75,1
MFD_g_1112,27,24,0.407518296739854,Core,"Sediment, Subterranean, Saltwater",36,18,0.75,1
MFD_g_4912,26,26,0.390884896872921,Core,"Sediment, Subterranean, Saltwater",36,18,0.722222222222222,1
MFD_g_1191,28,24,0.379795963628299,Core,"Sediment, Subterranean, Saltwater",36,18,0.777777777777778,1
MFD_g_3995,30,23,0.368707030383677,Core,"Sediment, Subterranean, Saltwater",36,18,0.833333333333333,2
Romboutsia,24,22,0.365934797072522,Core,"Sediment, Subterranean, Saltwater",36,18,0.666666666666667,3
MFD_g_36297,29,24,0.357618097139055,Core,"Sediment, Subterranean, Saltwater",36,18,0.805555555555556,1
MFD_g_3347,28,25,0.3548458638279,Core,"Sediment, Subterranean, Saltwater",36,18,0.777777777777778,1
