bin	cov	MAG_status
MFD00032.bin.2.147	15.7688265	MQ
MFD00032.bin.2.149	17.361263	MQ
MFD00032.bin.2.15	25.014347	MQ
MFD00032.bin.2.155	54.182854	MQ
MFD00032.bin.2.158	23.337538	MQ
MFD00032.bin.2.160	21.980312	MQ
MFD00032.bin.2.161	17.193062	MQ
MFD00032.bin.2.163	136.05153	MQ
MFD00032.bin.2.164	17.124191	MQ
MFD00032.bin.2.165	12.223796	MQ
MFD00032.bin.2.166	27.030127	MQ
MFD00032.bin.2.168	14.871085	MQ
MFD00032.bin.2.174	20.364382	MQ
MFD00032.bin.2.178	25.076067	MQ
MFD00032.bin.2.18	12.63304	MQ
MFD00032.bin.2.189	18.688116	MQ
MFD00032.bin.2.19	13.59707	MQ
MFD00032.bin.2.190	79.89984	MQ
MFD00032.bin.2.192	23.029337	MQ
MFD00032.bin.2.194	13.152126	MQ
MFD00032.bin.2.196	23.160471	MQ
MFD00032.bin.2.2	17.331871	MQ
MFD00032.bin.2.201	20.685793	MQ
MFD00032.bin.2.202	14.072221	MQ
MFD00032.bin.2.207	12.636014	MQ
MFD00032.bin.2.209	24.211666	MQ
MFD00032.bin.2.210	24.214333	MQ
MFD00032.bin.2.218	16.989738	MQ
MFD00032.bin.2.219	10.9404955	MQ
MFD00032.bin.2.221	18.681646	MQ
MFD00032.bin.2.224	22.013296	MQ
MFD00032.bin.2.225	16.489944	MQ
MFD00032.bin.2.227	20.524044	MQ
MFD00032.bin.2.231	15.965404	MQ
MFD00032.bin.2.233	18.529978	MQ
MFD00032.bin.2.234	44.056885	MQ
MFD00032.bin.2.24	14.864056	MQ
MFD00032.bin.2.25	12.076265	MQ
MFD00032.bin.2.26	15.788128	MQ
MFD00032.bin.2.3	18.087555	MQ
MFD00032.bin.2.31	26.257605	MQ
MFD00032.bin.2.33	31.370308	MQ
MFD00032.bin.2.34	15.097072	MQ
MFD00032.bin.2.35	33.758026	MQ
MFD00032.bin.2.39	30.815649	MQ
MFD00032.bin.2.41	19.321903	MQ
MFD00032.bin.2.42	15.237024	MQ
MFD00032.bin.2.43	29.256742	MQ
MFD00032.bin.2.44	23.731657	MQ
MFD00032.bin.2.47	22.616179	MQ
MFD00032.bin.2.48	15.171101	MQ
MFD00032.bin.2.51	14.599643	MQ
MFD00032.bin.2.52	11.867102	MQ
MFD00032.bin.2.54	25.8836	MQ
MFD00032.bin.2.55	11.775542	MQ
MFD00032.bin.2.56	13.209341	MQ
MFD00032.bin.2.57	29.610386	MQ
MFD00032.bin.2.58	13.292168	MQ
MFD00032.bin.2.59	26.170721	MQ
MFD00032.bin.2.60	11.115787	MQ
MFD00032.bin.2.63	14.927639	MQ
MFD00032.bin.2.65	16.983013	MQ
MFD00032.bin.2.67	12.492317	MQ
MFD00032.bin.2.68	12.884271	MQ
MFD00032.bin.2.69	12.4064865	MQ
MFD00032.bin.2.70	15.6427355	MQ
MFD00032.bin.2.71	56.59443	MQ
MFD00032.bin.2.77	18.528288	MQ
MFD00032.bin.2.78	15.0950575	MQ
MFD00032.bin.2.8	13.246999	MQ
MFD00032.bin.2.80	11.681798	MQ
MFD00032.bin.2.81	19.416065	MQ
MFD00032.bin.2.86	30.407864	MQ
MFD00032.bin.2.88	16.15131	MQ
MFD00032.bin.2.91	21.476906	MQ
MFD00032.bin.2.92	17.901648	MQ
MFD00032.bin.2.94	14.4135685	MQ
MFD00032.bin.2.97	82.400795	MQ
MFD00032.bin.3.102	18.497713	MQ
MFD00032.bin.3.136	37.173523	MQ
MFD00032.bin.3.158	26.107332	MQ
MFD00032.bin.3.166	15.565671	MQ
MFD00032.bin.3.177	32.89396	MQ
MFD00032.bin.3.204	36.09362	MQ
MFD00032.bin.3.205	36.85023	MQ
MFD00032.bin.3.232	49.977142	MQ
MFD00032.bin.3.236	76.187996	MQ
MFD00032.bin.3.254	46.025208	MQ
MFD00032.bin.3.31	14.953068	MQ
MFD00032.bin.3.322	86.37743	MQ
MFD00032.bin.3.335	31.656284	MQ
MFD00032.bin.3.338	16.211071	MQ
MFD00032.bin.3.351	16.31112	MQ
MFD00032.bin.3.371	14.37924	MQ
MFD00032.bin.3.403	21.613403	MQ
MFD00032.bin.3.405	17.622997	MQ
MFD00032.bin.3.452	16.560017	MQ
MFD00032.bin.3.53	24.513126	MQ
MFD00032.bin.3.532	16.249811	MQ
MFD00032.bin.3.64	24.138308	MQ
MFD00032.bin.3.74	20.143505	MQ
MFD00032.bin.3.85	27.172157	MQ
MFD00032.bin.3.97	25.777405	MQ
MFD00032.bin.4.54	39.937847	MQ
MFD00072.bin.2.110	23.66122	MQ
MFD00072.bin.2.112	22.742538	MQ
MFD00072.bin.2.114	16.2565	MQ
MFD00072.bin.2.131	18.198807	MQ
MFD00072.bin.2.166	25.825628	MQ
MFD00072.bin.2.169	18.258654	MQ
MFD00072.bin.2.25	15.397229	MQ
MFD00072.bin.2.49	24.565275	MQ
MFD00072.bin.2.63	28.965424	MQ
MFD00072.bin.2.96	29.196787	MQ
MFD00072.bin.2.98	21.01836	MQ
MFD00072.bin.3.234	15.77819	MQ
MFD00082.bin.1.43	18.814514	MQ
MFD00082.bin.2.1	16.534454	MQ
MFD00082.bin.2.100	15.015434	MQ
MFD00082.bin.2.102	28.708965	MQ
MFD00082.bin.2.104	37.524704	MQ
MFD00082.bin.2.107	21.480228	MQ
MFD00082.bin.2.108	22.078703	MQ
MFD00082.bin.2.109	16.31411	MQ
MFD00082.bin.2.11	13.792258	MQ
MFD00082.bin.2.111	20.893051	MQ
MFD00082.bin.2.115	18.877167	MQ
MFD00082.bin.2.117	40.098476	MQ
MFD00082.bin.2.122	30.46523	MQ
MFD00082.bin.2.13	12.496323	MQ
MFD00082.bin.2.14	15.404059	MQ
MFD00082.bin.2.15	17.192305	MQ
MFD00082.bin.2.16	17.202505	MQ
MFD00082.bin.2.17	21.927942	MQ
MFD00082.bin.2.19	24.269043	MQ
MFD00082.bin.2.20	24.239017	MQ
MFD00082.bin.2.21	36.166073	MQ
MFD00082.bin.2.22	18.506458	MQ
MFD00082.bin.2.23	17.545677	MQ
MFD00082.bin.2.24	19.908947	MQ
MFD00082.bin.2.3	25.388487	MQ
MFD00082.bin.2.31	16.264877	MQ
MFD00082.bin.2.33	18.940756	MQ
MFD00082.bin.2.34	16.98688	MQ
MFD00082.bin.2.35	15.671089	MQ
MFD00082.bin.2.38	22.384956	MQ
MFD00082.bin.2.4	27.114218	MQ
MFD00082.bin.2.49	22.316881	MQ
MFD00082.bin.2.52	19.093172	MQ
MFD00082.bin.2.55	21.196222	MQ
MFD00082.bin.2.56	24.876495	MQ
MFD00082.bin.2.57	29.68172	MQ
MFD00082.bin.2.6	23.025686	MQ
MFD00082.bin.2.60	20.100693	MQ
MFD00082.bin.2.61	30.029354	MQ
MFD00082.bin.2.63	15.04195	MQ
MFD00082.bin.2.65	12.619391	MQ
MFD00082.bin.2.67	19.522554	MQ
MFD00082.bin.2.75	29.390213	MQ
MFD00082.bin.2.79	22.10553	MQ
MFD00082.bin.2.81	23.615341	MQ
MFD00082.bin.2.82	27.555609	MQ
