cluster	cluster_qual	OWC	MFD-SR	TPMC	MFD-LR	GEM	SMAG	RBG	SPIRE
2019_bqzb-4_bin.83.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-4_bin.89.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-4_bin.9.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-4_bin.90.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-4_bin.92.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_CE-X-W-2_bin.171.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_NRPC-20W-4-1_bin.268.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_bqzb-hu-1_bin.47.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2020_JC-20W-2-1_bin.115.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_02203771	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
H2-3_bin.20.purify	MQ	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
2019_TBCBL-01_bin.29.purify	MQ	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBCBL-05_bin.24.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.31.purify	HQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.34.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.39.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.44.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.53.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.55.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.56.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.6.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.7.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-01_bin.9.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-02_bin.11.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
spire_mag_02991033	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
2019_TBCBL-02_bin.33.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
2019_TBCBL-02_bin.39.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
binchicken_co398_179	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
2020_QJH-W1_bin.41.purify	MQ	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
