LIB-MJ044-B6_03	MFD00905.bin.2.215	0.0883	0.0232	0.385
LIB-MJ044-B6_03	MFD02809.bin.2.213	0.0634	0.0141	0.277
LIB-MJ044-B6_03	MFD02242.bin.2.301	0.0445	0.0196	0.194
LIB-MJ044-B6_03	MFD10007.bin.2.94	0.0225	0.0139	0.098
LIB-MJ044-B5_03	MFD00392.bin.2.49	0.1295	0.0738	0.282
LIB-MJ044-B5_03	MFD00392.bin.2.348	0.0797	0.0244	0.173
LIB-MJ044-B5_03	MFD00392.bin.2.375	0.0776	0.0143	0.169
LIB-MJ044-B5_03	MFD02159.bin.3.13	0.0648	0.0111	0.141
LIB-MJ044-C11_03	MFD02840.bin.2.32	0.3443	0.2295	1.018
LIB-MJ044-C11_03	MFD00962.bin.2.81	0.2417	0.1098	0.715
LIB-MJ044-C11_03	MFD04850.bin.2.175	0.2393	0.0712	0.707
LIB-MJ044-C11_03	MFD03066.bin.2.173	0.2245	0.1402	0.664
LIB-MJ044-C11_03	MFD00962.bin.2.244	0.1754	0.0604	0.518
LIB-MJ044-C11_03	MFD05567.bin.2.48	0.1271	0.0611	0.376
LIB-MJ044-C11_03	MFD05567.bin.2.250	0.1243	0.0438	0.367
LIB-MJ044-C11_03	MFD02840.bin.2.184	0.1124	0.0525	0.332
LIB-MJ044-C11_03	MFD05567.bin.2.90	0.1079	0.0621	0.319
LIB-MJ044-C11_03	MFD00962.bin.2.262	0.1050	0.0504	0.310
LIB-MJ044-C11_03	MFD00392.bin.2.375	0.0643	0.0156	0.190
LIB-MJ044-C11_03	MFD04850.bin.2.24	0.0392	0.0200	0.116
LIB-MJ044-C5_03	MFD00032.bin.2.210	0.5625	0.1698	1.297
LIB-MJ044-C5_03	MFD00905.bin.2.215	0.2425	0.0905	0.559
LIB-MJ044-C8_03	MFD00392.bin.2.348	0.2975	0.0938	0.564
LIB-MJ044-C8_03	MFD00392.bin.2.375	0.2618	0.0497	0.496
LIB-MJ044-C8_03	MFD00392.bin.2.49	0.1495	0.0878	0.283
LIB-MJ044-C8_03	MFD02840.bin.2.32	0.0837	0.0438	0.159
LIB-MJ044-C7_03	MFD02242.bin.2.229	0.1653	0.0475	0.239
LIB-MJ044-C7_03	MFD02242.bin.2.113	0.1548	0.0325	0.224
LIB-MJ044-C7_03	MFD02809.bin.2.128	0.1405	0.0317	0.203
LIB-MJ044-C7_03	MFD02809.bin.2.213	0.0886	0.0161	0.128
LIB-MJ044-C6_03	MFD02416.bin.1.411	0.2380	0.1470	0.587
LIB-MJ044-C6_03	MFD05442.bin.2.293	0.1313	0.0646	0.324
LIB-MJ044-C6_03	MFD04944.bin.2.154	0.1091	0.0576	0.269
LIB-MJ044-C6_03	MFD04944.bin.2.84	0.1038	0.0524	0.256
LIB-MJ044-C6_03	MFD05442.bin.1.398	0.1019	0.0341	0.251
LIB-MJ044-C6_03	MFD02416.bin.2.110	0.0831	0.0337	0.205
LIB-MJ044-C6_03	MFD04944.bin.2.113	0.0710	0.0295	0.175
LIB-MJ044-C6_03	MFD02416.bin.2.10	0.0610	0.0266	0.150
LIB-MJ044-C6_03	MFD05442.bin.1.323	0.0579	0.0213	0.143
LIB-MJ044-C6_03	MFD05684.bin.2.29	0.0242	0.0097	0.060
LIB-MJ044-C6_03	MFD02416.bin.1.4	0.0225	0.0134	0.055
LIB-MJ044-D11_03	MFD00962.bin.2.81	0.3405	0.1288	0.693
LIB-MJ044-D11_03	MFD09267.bin.2.322	0.2755	0.1602	0.561
LIB-MJ044-D11_03	MFD03066.bin.2.173	0.2690	0.1399	0.547
LIB-MJ044-D11_03	MFD05747.bin.2.155	0.1783	0.0449	0.363
LIB-MJ044-D11_03	MFD00962.bin.2.274	0.1541	0.0559	0.314
LIB-MJ044-D11_03	MFD06229.bin.2.236	0.1384	0.0451	0.282
LIB-MJ044-D11_03	MFD00962.bin.2.72	0.1327	0.0514	0.270
LIB-MJ044-D11_03	MFD02360.bin.1.179	0.1048	0.0387	0.213
LIB-MJ044-D11_03	MFD00962.bin.2.219	0.0893	0.0218	0.182
LIB-MJ044-D11_03	MFD02360.bin.2.54	0.0836	0.0228	0.170
LIB-MJ044-D11_03	MFD00962.bin.2.16	0.0703	0.0209	0.143
LIB-MJ044-D11_03	MFD09267.bin.2.26	0.0417	0.0130	0.085
LIB-MJ044-C9_03	MFD00392.bin.2.49	0.3029	0.1188	0.410
LIB-MJ044-C9_03	MFD04967.bin.2.68	0.2392	0.0595	0.324
LIB-MJ044-C9_03	MFD02242.bin.2.229	0.1943	0.0496	0.263
LIB-MJ044-C9_03	MFD05567.bin.2.48	0.1791	0.0451	0.242
LIB-MJ044-D1_03	MFD00962.bin.2.262	0.4068	0.1173	0.739
LIB-MJ044-D1_03	MFD06229.bin.4.403	0.3261	0.0609	0.592
LIB-MJ044-D1_03	MFD02242.bin.2.229	0.2950	0.0863	0.536
LIB-MJ044-D1_03	MFD05567.bin.2.48	0.2882	0.0833	0.523
LIB-MJ044-D1_03	MFD02809.bin.2.128	0.1936	0.0445	0.352
LIB-MJ044-D1_03	MFD03066.bin.2.173	0.1871	0.0702	0.340
LIB-MJ044-D1_03	MFD00962.bin.2.274	0.1867	0.0489	0.339
LIB-MJ044-D1_03	MFD10007.bin.2.94	0.1129	0.0583	0.205
LIB-MJ044-D1_03	MFD02360.bin.1.179	0.0819	0.0218	0.149
LIB-MJ044-D3_03	MFD02840.bin.2.32	0.2340	0.1330	0.657
LIB-MJ044-D3_03	MFD05567.bin.2.48	0.1882	0.0772	0.528
LIB-MJ044-D3_03	MFD03066.bin.2.173	0.1786	0.0952	0.501
LIB-MJ044-D3_03	MFD05567.bin.2.250	0.1395	0.0420	0.392
LIB-MJ044-D3_03	MFD00962.bin.2.244	0.1314	0.0386	0.369
LIB-MJ044-D3_03	MFD02840.bin.2.184	0.1237	0.0493	0.347
LIB-MJ044-D3_03	MFD00962.bin.2.81	0.1199	0.0465	0.337
LIB-MJ044-D3_03	MFD00392.bin.2.49	0.1091	0.0697	0.306
LIB-MJ044-D3_03	MFD00392.bin.2.348	0.0832	0.0285	0.233
LIB-MJ044-D3_03	MFD00962.bin.2.262	0.0792	0.0324	0.222
LIB-MJ044-D10_03	MFD02840.bin.2.32	0.2168	0.1585	0.631
LIB-MJ044-D10_03	MFD00962.bin.2.81	0.1896	0.0945	0.552
LIB-MJ044-D10_03	MFD03066.bin.2.173	0.1706	0.1169	0.497
LIB-MJ044-D10_03	MFD02840.bin.2.184	0.1637	0.0839	0.477
LIB-MJ044-D10_03	MFD05567.bin.2.48	0.1453	0.0767	0.423
LIB-MJ044-D10_03	MFD04850.bin.2.175	0.1408	0.0459	0.410
LIB-MJ044-D10_03	MFD00962.bin.2.244	0.1288	0.0487	0.375
LIB-MJ044-D10_03	MFD00962.bin.2.262	0.0953	0.0502	0.277
LIB-MJ044-D10_03	MFD05567.bin.2.250	0.0952	0.0368	0.277
LIB-MJ044-D10_03	MFD00392.bin.2.375	0.0803	0.0213	0.234
LIB-MJ044-D10_03	MFD00962.bin.2.72	0.0735	0.0375	0.214
LIB-MJ044-D10_03	MFD05567.bin.2.90	0.0542	0.0342	0.158
LIB-MJ044-D10_03	MFD04850.bin.2.24	0.0335	0.0187	0.098
LIB-MJ044-D8_03	MFD05442.bin.1.398	0.5758	0.2247	1.584
LIB-MJ044-D8_03	MFD02416.bin.1.7	0.1700	0.0678	0.468
LIB-MJ044-D8_03	MFD02416.bin.1.411	0.1041	0.0752	0.286
LIB-MJ044-D8_03	MFD02923.bin.2.11	0.0738	0.0264	0.203
LIB-MJ044-D8_03	MFD05684.bin.1.294	0.0679	0.0360	0.187
LIB-MJ044-D8_03	MFD05442.bin.1.323	0.0520	0.0223	0.143
LIB-MJ044-D8_03	MFD05684.bin.2.29	0.0435	0.0203	0.120
LIB-MJ044-D8_03	MFD02923.bin.3.71	0.0286	0.0105	0.079
LIB-MJ044-D4_03	MFD00032.bin.2.210	0.4987	0.1193	1.162
LIB-MJ044-D4_03	MFD00032.bin.1.264	0.0686	0.0201	0.160
LIB-MJ044-D4_03	MFD00905.bin.2.215	0.0625	0.0185	0.146
LIB-MJ044-D6_03	MFD02416.bin.2.10	0.2104	0.0959	0.541
LIB-MJ044-D6_03	MFD02416.bin.1.411	0.1851	0.1195	0.476
LIB-MJ044-D6_03	MFD02416.bin.2.110	0.0842	0.0357	0.217
LIB-MJ044-D6_03	MFD02416.bin.1.123	0.0667	0.0078	0.172
LIB-MJ044-D6_03	MFD02416.bin.1.4	0.0603	0.0374	0.155
LIB-MJ044-D6_03	MFD05442.bin.1.398	0.0602	0.0210	0.155
LIB-MJ044-D6_03	MFD05684.bin.2.29	0.0425	0.0178	0.109
LIB-MJ044-D6_03	MFD02923.bin.2.11	0.0389	0.0125	0.100
LIB-MJ044-D9_03	MFD02134.bin.2.1	0.0568	0.0209	0.115
LIB-MJ044-D9_03	MFD05502.bin.2.147	0.0258	0.0044	0.052
LIB-MJ044-D5_03	MFD04434.bin.1.124	0.0243	0.0063	0.069
LIB-MJ044-D5_03	MFD02248.bin.2.105	0.0202	0.0054	0.057
LIB-MJ044-E10_03	MFD00392.bin.2.348	0.1776	0.0586	0.410
LIB-MJ044-E10_03	MFD00392.bin.2.49	0.1399	0.0861	0.323
LIB-MJ044-E10_03	MFD02159.bin.3.13	0.1264	0.0234	0.292
LIB-MJ044-E10_03	MFD04944.bin.2.42	0.0874	0.0379	0.202
LIB-MJ044-E10_03	MFD10007.bin.2.94	0.0676	0.0477	0.156
LIB-MJ044-E3_03	MFD00392.bin.2.49	0.1855	0.0802	0.249
LIB-MJ044-E1_03	MFD03066.bin.2.173	0.2255	0.1157	0.608
LIB-MJ044-E1_03	MFD05567.bin.2.250	0.1567	0.0454	0.422
LIB-MJ044-E1_03	MFD02840.bin.2.32	0.1282	0.0702	0.346
LIB-MJ044-E1_03	MFD05567.bin.2.48	0.1133	0.0448	0.306
LIB-MJ044-E1_03	MFD02840.bin.2.184	0.1114	0.0427	0.300
LIB-MJ044-E1_03	MFD10007.bin.2.94	0.0793	0.0559	0.214
LIB-MJ044-E11_03	MFD05567.bin.2.48	0.1466	0.0620	0.359
LIB-MJ044-E11_03	MFD00392.bin.2.49	0.1401	0.0922	0.343
LIB-MJ044-E11_03	MFD00392.bin.2.348	0.1396	0.0493	0.342
LIB-MJ044-E11_03	MFD03066.bin.2.173	0.1369	0.0752	0.335
LIB-MJ044-E11_03	MFD02840.bin.2.32	0.0848	0.0497	0.207
LIB-MJ044-E11_03	MFD02840.bin.2.184	0.0755	0.0310	0.185
LIB-MJ044-E11_03	MFD00392.bin.2.375	0.0586	0.0125	0.143
LIB-MJ044-E11_03	MFD02840.bin.2.310	0.0501	0.0213	0.123
LIB-MJ044-E7_03	MFD00032.bin.2.210	0.1754	0.0676	0.447
LIB-MJ044-E7_03	MFD05674.bin.2.30	0.0482	0.0232	0.123
LIB-MJ044-E5_03	MFD09368.bin.2.169	0.2460	0.0471	0.332
LIB-MJ044-E6_03	MFD02581.bin.2.40	0.3797	0.1042	0.781
LIB-MJ044-E6_03	MFD03066.bin.2.173	0.2853	0.1268	0.587
